version,subjID,gender,age,BlockVary,ItemVary,FrequencyPredict_1,FrequencyPredict_2,FrequencyPredict_3,FrequencyPredict_4,FrequencyPredict_5,SCForcedChoice_bear,SCForcedChoice_turtle,SCForcedChoice_bird,SCForcedChoice_deer,SCForcedChoice_dog,SCForcedChoice_cat,SCForcedChoice,SCForcedChoice_LWPC,SCForcedChoice_bias
3,30,Male,30,0,0,85,5,5,0,0,1,1,1,1,1,1,6,2,4
4,31,Female,32,0,0,41,18,16,22,50,1,0,0,0,1,0,2,1,1
4,32,Male,40,0,1,26,65,65,14,39,1,0,1,0,0,0,2,0,2
4,33,Female,25,0,0,51,51,51,52,51,0,1,0,0,1,0,2,0,2
4,34,Female,22,1,1,19,21,25,28,32,0,0,0,1,1,1,3,1,2
4,35,Female,39,0,0,84,4,4,4,5,1,1,0,0,0,0,2,0,2
4,36,Male,38,1,1,17,28,61,55,48,0,1,0,1,1,0,3,0,3
4,37,Male,27,1,1,89,83,71,58,82,1,0,1,0,0,0,2,0,2
4,38,Female,31,0,0,0,50,0,0,0,0,1,1,0,1,0,3,0,3
4,39,Female,35,1,0,33,47,82,28,38,1,0,0,1,0,0,2,1,1
4,40,Female,41,0,1,33,79,0,50,0,0,0,0,1,0,1,2,0,2
4,41,Female,44,0,0,50,48,48,48,48,0,0,0,1,1,0,2,0,2
4,42,Female,28,0,0,50,50,50,50,51,0,0,1,0,0,1,2,2,0
4,43,Female,25,0,0,68,36,15,35,46,1,1,1,0,0,0,3,1,2
4,44,Male,42,0,0,20,40,6,82,7,0,0,1,1,0,0,2,0,2
4,45,Male,30,0,0,17,5,10,2,33,0,0,0,1,0,1,2,0,2
4,46,Female,59,0,0,5,5,95,5,5,1,0,1,1,1,1,5,2,3
4,47,Male,28,1,1,41,58,72,58,79,0,0,0,0,0,0,0,0,0
4,48,Female,21,0,0,0,0,0,0,77,1,0,1,1,0,1,4,0,4
4,49,Male,35,0,0,1,0,0,71,3,0,1,0,0,0,0,1,0,1
4,50,Male,32,0,0,65,65,50,90,40,0,0,0,0,1,1,2,0,2
4,51,Female,32,1,0,21,76,48,68,21,0,1,1,1,1,1,5,1,4
4,52,Male,26,0,0,100,0,0,0,0,1,1,0,0,0,0,2,2,0
4,53,Male,26,0,0,12,12,11,80,9,1,0,0,0,1,0,2,0,2
4,54,Male,48,0,0,4,14,5,4,7,0,0,0,1,0,1,2,0,2
4,55,Male,36,0,0,50,49,31,66,39,1,1,1,1,0,0,4,0,4
4,56,Male,28,0,0,50,50,50,50,50,1,0,1,0,1,0,3,1,2
4,57,Female,61,1,1,3,13,1,90,7,1,0,1,0,1,1,4,2,2
4,58,Female,30,0,0,91,1,1,1,1,1,1,1,1,1,1,6,2,4
4,59,Female,37,0,0,7,7,9,11,56,1,1,1,1,0,1,5,2,3
4,60,Male,37,0,0,49,67,48,57,36,1,1,1,1,0,1,5,1,4
9,61,Male,26,0,0,50,50,50,50,50,0,0,1,0,0,1,2,0,2
9,62,Female,42,1,1,41,10,81,10,10,0,0,1,0,0,0,1,0,1
9,63,Female,48,1,1,50,51,50,49,49,1,0,0,1,0,0,2,0,2
9,64,Male,51,1,1,65,75,52,46,62,1,0,0,0,0,0,1,0,1
9,65,Female,36,0,0,25,1,100,2,2,0,0,0,1,0,1,2,0,2
9,66,Male,28,0,1,96,79,88,81,89,0,1,0,1,1,0,3,1,2
9,67,Female,58,0,0,67,6,5,1,90,1,0,0,1,0,1,3,1,2
9,68,Female,32,0,0,0,0,50,50,50,1,1,1,1,0,0,4,0,4
9,69,Male,45,1,1,12,31,25,20,78,1,1,1,0,0,0,3,0,3
9,70,Female,28,0,0,77,88,66,87,78,0,0,0,0,0,1,1,0,1
9,71,Male,35,1,1,50,50,50,50,50,0,1,0,0,0,1,2,2,0
9,72,Female,27,1,0,34,71,40,18,37,1,0,0,1,0,0,2,0,2
9,73,Female,36,1,1,83,10,16,1,61,0,0,0,1,0,0,1,1,0
9,74,Male,33,1,1,53,55,53,60,52,1,0,0,0,1,0,2,0,2
9,75,Female,32,1,1,25,27,18,31,80,0,1,1,1,1,0,4,0,4
9,76,Male,29,1,1,79,71,37,27,89,0,0,0,0,1,0,1,0,1
9,77,Male,47,,,,,,,,,,,,,,,,
9,78,Male,23,1,0,75,6,17,9,59,0,0,0,0,1,0,1,0,1
9,79,Female,28,0,0,48,64,40,55,63,0,0,0,0,0,0,0,0,0
9,80,Male,33,0,0,50,50,50,50,50,1,1,1,1,0,0,4,2,2
9,81,Female,51,0,0,76,41,92,30,8,0,0,0,0,1,0,1,0,1
9,82,Male,45,0,0,0,0,31,32,59,1,0,0,0,0,1,2,0,2
9,83,Male,34,0,1,14,92,0,0,17,1,0,1,1,1,0,4,0,4
9,84,Female,31,1,1,17,16,19,8,11,0,1,0,1,1,1,4,0,4
9,85,Female,26,0,0,17,51,33,17,17,0,1,1,1,0,0,3,1,2
9,86,Female,27,0,0,85,75,93,84,97,0,0,1,0,0,0,1,0,1
9,87,Male,28,0,1,98,88,86,87,100,0,0,0,1,1,1,3,2,1
9,88,Male,46,0,0,0,0,0,0,63,1,0,1,1,1,1,5,1,4
9,89,Male,27,0,0,79,0,0,51,0,0,1,0,1,0,1,3,1,2
9,90,Male,21,0,0,86,2,6,33,5,0,0,0,0,0,0,0,0,0
10,91,Female,41,1,1,60,38,54,71,47,1,0,0,0,0,0,1,0,1
10,92,Male,28,1,1,28,69,11,5,3,1,0,0,0,0,1,2,0,2
10,93,Female,59,0,0,50,51,48,51,50,0,0,0,1,0,1,2,0,2
10,94,Male,33,1,1,40,26,77,20,37,1,0,0,1,0,0,2,0,2
10,95,Female,47,0,1,64,53,64,54,71,0,0,0,0,0,0,0,0,0
10,96,Female,29,1,1,1,17,0,0,63,0,1,0,0,1,0,2,0,2
10,97,Male,66,0,0,11,17,18,44,32,0,0,1,0,0,0,1,0,1
10,98,Female,37,1,1,46,18,16,15,4,1,1,0,1,1,1,5,1,4
10,99,Male,42,1,1,15,31,19,29,16,1,0,0,1,0,0,2,0,2
10,100,Female,45,0,0,50,50,52,78,52,1,1,1,0,1,0,4,0,4
10,101,Male,25,1,1,88,38,76,28,19,0,0,0,1,0,0,1,0,1
10,102,Male,26,0,0,75,50,55,25,0,0,0,0,1,1,0,2,2,0
10,103,Male,26,0,0,30,30,0,75,0,0,1,1,0,0,0,2,2,0
10,104,Male,32,1,1,76,26,26,65,71,0,0,0,0,1,0,1,0,1
10,105,Male,25,0,1,78,31,35,23,25,0,0,1,0,0,1,2,0,2
10,106,Female,58,1,0,55,46,41,27,46,0,0,0,1,1,0,2,0,2
10,107,Female,34,0,1,33,25,70,49,49,0,1,1,0,0,1,3,1,2
10,108,Male,53,1,1,15,15,50,15,67,0,1,0,0,1,0,2,0,2
10,109,Male,32,1,1,50,51,50,51,49,,,,,,,,,
10,110,Male,35,1,1,75,52,62,35,29,1,0,0,1,0,1,3,1,2
10,111,Female,32,0,0,0,0,100,0,0,1,0,1,1,0,1,4,2,2
10,112,Male,36,1,1,0,0,53,1,1,0,1,0,0,1,0,2,0,2
10,113,Male,36,1,1,72,63,66,75,80,0,0,1,0,1,0,2,1,1
10,114,Male,29,1,1,61,78,63,84,73,0,0,1,0,0,1,2,0,2
10,115,Male,33,1,1,54,64,50,64,50,0,0,1,1,0,0,2,0,2
10,116,Male,37,1,1,79,66,85,89,95,0,0,0,0,0,1,1,0,1
10,117,Female,35,1,0,51,93,47,13,18,0,1,0,1,0,0,2,2,0
10,118,Male,49,0,0,0,0,15,15,86,1,1,1,0,0,0,3,1,2
10,119,Male,28,1,1,69,43,78,59,52,1,1,1,0,1,0,4,1,3
10,120,Female,32,0,0,50,0,0,0,0,0,0,1,0,1,1,3,2,1
