version,subjID,Gender,Age,Q1_SC_SystematicVariation,Q2_BearTurtle,Q2_BearBird,Q2_BearDeer,Q3_SC_ForcedChoicePerformance,Q3_SCT_ForcedChoicePerformance,Q3_1,Q3_2,Q3_3,Q3_4,Q3_SC_ForcedChoicePerformance,Q3_1,Q3_2,Q3_3,Q3_4,Q3_SCT_ForcedChoicePerformance
3,25,Female,64,1,30,81,,2,2,1,0,0,1,2,1,0,0,1,2
3,26,Male,33,0,27,27,51,3,3,1,1,0,1,3,1,0,1,1,3
3,27,Female,30,0,25,25,25,2,2,1,0,1,0,2,1,0,1,0,2
3,28,Male,57,0,50,82,51,0,2,0,0,0,0,0,0,0,1,1,2
3,29,Male,28,1,93,79,91,0,0,0,0,0,0,0,0,0,0,0,0
3,30,Male,32,0,67,23,50,2,2,1,0,0,1,2,1,1,0,0,2
4,31,Male,23,0,49,51,52,2,2,1,1,0,0,2,1,1,0,0,2
4,32,Male,30,0,0,50,20,2,2,1,0,1,0,2,0,1,1,0,2
4,33,Male,29,1,30,25,6,2,3,1,0,0,1,2,1,1,0,1,3
4,34,Male,29,1,66,77,83,1,2,0,0,1,0,1,1,0,0,1,2
4,35,Male,34,0,50,50,50,2,2,1,1,0,0,2,0,0,1,1,2
4,36,Male,34,0,33,32,50,0,3,0,0,0,0,0,0,1,1,1,3
4,37,Female,51,0,60,50,50,2,2,0,1,0,1,2,0,1,0,1,2
4,38,Female,27,0,49,86,60,1,2,0,0,0,1,1,1,0,1,0,2
4,39,Female ,46,1,33,50,14,2,2,1,0,1,0,2,1,0,0,1,2
4,40,Female,39,1,57,29,81,2,3,0,1,1,0,2,1,1,1,0,3
5,41,Female,50,0,33,30,60,2,2,0,1,1,0,2,1,0,0,1,2
5,42,Female,36,0,10,1,94,2,2,0,1,1,0,2,0,1,1,0,2
5,43,Female,36,0,51,51,50,2,4,1,0,0,1,2,1,1,1,1,4
5,44,Male,26,0,48,50,51,0,0,0,0,0,0,0,0,0,0,0,0
5,45,Female,49,0,52,54,57,2,2,1,0,1,0,2,0,1,1,0,2
5,46,Male,27,1,47,61,61,2,2,0,0,1,1,2,0,1,0,1,2
5,47,Female,30,0,7,47,74,2,2,0,1,1,0,2,0,0,1,1,2
5,48,Female,41,0,75,50,38,1,2,0,0,0,1,1,1,0,0,1,2
5,49,Male,28,1,85,45,83,2,1,1,0,1,0,2,0,0,1,0,1
5,50,Male,29,1,53,61,49,2,4,0,1,1,0,2,1,1,1,1,4
6,51,Female,51,0,14,58,47,0,3,0,0,0,0,0,1,0,1,1,3
6,52,Female,24,0,34,17,84,2,2,1,0,1,0,2,0,0,1,1,2
6,53,Male,25,1,37,5,81,0,1,0,0,0,0,0,0,1,0,0,1
6,54,Male,26,0,,,,,,,,,,,,,,,
6,55,Male,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,56,Male,23,1,82,61,49,0,4,0,0,0,0,0,1,1,1,1,4
6,57,Male,33,0,33,48,91,1,2,0,0,1,0,1,0,1,1,0,2
6,58,Female,23,1,83,74,65,2,2,0,0,1,1,2,1,0,1,0,2
6,59,Male,26,0,65,3,3,2,4,1,1,0,0,2,1,1,1,1,4
6,60,Female,30,0,50,62,84,2,1,1,0,1,0,2,0,1,0,0,1
7,61,Female,31,0,84,44,66,1,0,0,0,1,0,1,0,0,0,0,0
7,62,Male,28,0,30,63,76,2,2,1,0,1,0,2,1,0,1,0,2
7,63,Female,55,0,53,58,49,0,2,0,0,0,0,0,1,0,1,0,2
7,64,Male,36,0,50,50,50,2,2,0,1,0,1,2,1,0,0,1,2
7,65,Male,26,1,57,42,76,2,2,0,0,1,1,2,0,0,1,1,2
7,66,Female,28,1,48,57,10,1,2,0,0,0,1,1,0,1,0,1,2
7,67,Male,33,0,54,68,51,0,0,0,0,0,0,0,0,0,0,0,0
7,68,Male,50,0,14,33,73,3,1,0,1,1,1,3,1,0,0,0,1
7,69,Male,31,0,22,80,22,2,2,1,0,1,0,2,0,0,1,1,2
8,70,Male,32,0,20,30,65,3,2,1,1,1,0,3,0,1,0,1,2
8,71,Male,28,1,67,81,90,0,1,0,0,0,0,0,1,0,0,0,1
8,72,Female,27,1,91,72,85,1,2,0,1,0,0,1,1,0,0,1,2
8,73,Male,33,1,69,33,3,2,2,0,1,1,0,2,0,0,1,1,2
8,74,Male,29,0,25,25,25,2,1,0,0,1,1,2,0,0,1,0,1
8,75,Female,36,1,51,90,24,2,2,1,0,1,0,2,0,1,0,1,2
8,76,Male,38,0,79,20,90,2,2,0,1,1,0,2,0,1,1,0,2
8,77,Male,54,0,34,68,55,2,2,1,0,1,0,2,1,0,1,0,2
8,78,Genderqueer,40,0,50,50,49,2,2,0,0,1,1,2,0,0,1,1,2
8,79,Female,57,0,32,52,54,2,2,1,0,0,1,2,1,1,0,0,2
9,80,Female,46,0,33,65,26,1,3,1,0,0,0,1,1,1,0,1,3
9,81,Male,34,0,51,56,51,2,2,0,0,1,1,2,1,0,1,0,2
9,82,,,,,,,,,,,,,,,,,,
9,83,Female,55,0,94,69,69,2,2,0,0,1,1,2,1,0,0,1,2
9,84,Female,29,1,59,60,32,2,2,1,0,0,1,2,1,0,0,1,2
9,85,Female,48,1,16,61,41,2,2,1,1,0,0,2,1,1,0,0,2
9,86,Female,26,0,49,51,51,1,0,0,0,0,1,1,0,0,0,0,0
9,87,Female,47,1,43,64,87,0,4,0,0,0,0,0,1,1,1,1,4
9,88,Female,28,1,83,82,59,1,0,0,1,0,0,1,0,0,0,0,0
9,89,Male,26,0,51,69,63,3,1,1,1,0,1,3,1,0,0,0,1
10,90,Male,59,1,54,56,76,0,0,0,0,0,0,0,0,0,0,0,0
10,91,Male,73,0,50,50,50,2,1,1,1,0,0,2,0,1,0,0,1
10,92,Male,31,0,49,81,39,2,1,0,0,1,1,2,0,0,0,1,1
10,93,Female,67,0,33,68,52,3,4,1,1,0,1,3,1,1,1,1,4
10,94,Male,27,1,19,32,39,2,3,0,1,0,1,2,1,1,0,1,3
10,95,Female,34,0,51,50,31,2,4,0,1,0,1,2,1,1,1,1,4
10,96,Female,45,0,62,53,87,2,2,0,1,0,1,2,0,1,0,1,2
10,97,Male,50,0,51,49,,0,0,0,0,0,0,0,0,0,0,0,0
10,98,Female,35,0,54,49,50,2,1,0,1,0,1,2,0,1,0,0,1
10,99,Female,32,0,50,50,50,0,4,0,0,0,0,0,1,1,1,1,4
10,100,Female,64,0,50,50,50,2,2,1,0,0,1,2,0,1,1,0,2
11,101,Male,33,1,30,41,30,2,2,0,1,1,0,2,0,1,1,0,2
11,102,Male,60,0,51,51,52,2,2,0,0,1,1,2,0,0,1,1,2
11,103,Female,57,0,8,23,37,2,0,1,0,0,1,2,0,0,0,0,0
11,104,Female,61,0,50,50,50,0,0,0,0,0,0,0,0,0,0,0,0
11,105,Male,27,0,50,50,50,0,4,0,0,0,0,0,1,1,1,1,4
11,106,,,,,,,,,,,,,,,,,,
11,107,Male,36,0,79,68,42,2,2,1,1,0,0,2,1,0,0,1,2
11,108,Male,37,0,50,50,50,2,2,0,0,1,1,2,0,0,1,1,2
11,109,Female,29,1,65,83,88,0,0,0,0,0,0,0,0,0,0,0,0
12,110,Male,34,0,50,50,50,2,2,1,0,1,0,2,1,0,0,1,2
12,111,Male,30,1,95,93,94,0,0,0,0,0,0,0,0,0,0,0,0
12,112,Male,31,0,51,51,51,0,0,0,0,0,0,0,0,0,0,0,0
12,113,,,,,,,,,,,,,,,,,,
12,114,Male,28,0,79,90,94,0,0,0,0,0,0,0,0,0,0,0,0
12,115,Male,44,0,50,50,51,0,0,0,0,0,0,0,0,0,0,0,0
12,116,Male,25,0,33,33,33,2,2,1,0,1,0,2,1,0,1,0,2
12,117,Male,47,0,33,50,68,2,0,1,1,0,0,2,0,0,0,0,0
12,118,Male,41,0,10,20,50,2,2,1,0,1,0,2,0,1,0,1,2
12,119,Male,29,0,25,24,75,0,0,0,0,0,0,0,0,0,0,0,0
12,120,Female,38,0,51,51,50,2,2,0,1,1,0,2,1,0,0,1,2
